planner,song,notes,travel,violations,peak_vel,runtime_ms
greedy,synth_chromatic,25,25.0,0,4.0,0.10070001007989049
lookahead3,synth_chromatic,25,24.0,0,4.0,1.1081000266131014
viterbi,synth_chromatic,25,24.0,0,4.0,14.456999982940033
beam32,synth_chromatic,25,24.0,0,4.0,4.083799984073266
astar,synth_chromatic,25,24.0,0,4.0,1.0302999871782959
greedy,synth_wide_leaps,10,17.0,0,3.750000000000001,0.03470000228844583
lookahead3,synth_wide_leaps,10,17.0,0,3.750000000000001,0.2857999934349209
viterbi,synth_wide_leaps,10,17.0,0,3.750000000000001,5.118600005516782
beam32,synth_wide_leaps,10,17.0,0,3.750000000000001,1.3287000183481723
astar,synth_wide_leaps,10,17.0,0,3.750000000000001,0.2308000111952424
greedy,synth_tremolo_shared,40,9.0,0,6.999999999650001e-09,0.09809999028220773
lookahead3,synth_tremolo_shared,40,9.0,0,7e-09,1.4288999955169857
viterbi,synth_tremolo_shared,40,9.0,0,6.999999999650001e-09,29.17719999095425
beam32,synth_tremolo_shared,40,9.0,0,6.999999999650001e-09,7.106100005330518
astar,synth_tremolo_shared,40,9.0,0,6.999999999650001e-09,4.928099981043488
greedy,synth_slide_chain,8,12.0,0,6.666666666666667,0.02160001895390451
lookahead3,synth_slide_chain,8,12.0,0,6.666666666666667,0.10210002074018121
viterbi,synth_slide_chain,8,12.0,0,6.666666666666667,0.18619999173097312
beam32,synth_slide_chain,8,12.0,0,6.666666666666667,0.228899996727705
astar,synth_slide_chain,8,12.0,0,6.666666666666667,0.10909998673014343
greedy,synth_dense_chord,24,18.0,0,0.8333333333333335,0.06360001862049103
lookahead3,synth_dense_chord,24,18.0,0,0.8333333333333335,1.0276999964844435
viterbi,synth_dense_chord,24,18.0,0,0.8333333333333335,16.985499998554587
beam32,synth_dense_chord,24,18.0,0,0.8333333333333335,4.149099986534566
astar,synth_dense_chord,24,18.0,0,0.8333333333333335,1.0133000032510608
greedy,random_0,64,103.0,2,11.323090827450743,0.16109997523017228
lookahead3,random_0,64,101.0,2,11.323090827450743,2.6150000048801303
viterbi,random_0,64,97.0,2,11.323090827450743,57.537399989087135
beam32,random_0,64,103.0,2,11.323090827450743,13.102299999445677
astar,random_0,64,26.0,1,2.3159349673027028,1918.3415999868885
greedy,random_1,64,131.0,2,321.8785091098349,0.1753999968059361
lookahead3,random_1,64,105.0,2,321.8785091098349,2.7783999976236373
viterbi,random_1,64,102.0,2,321.8785091098349,58.27270000008866
beam32,random_1,64,102.0,2,321.8785091098349,13.770999998087063
astar,random_1,64,110.0,2,321.8785091098349,190.87029999354854
greedy,random_2,64,139.0,2,281.03500483664936,0.16930000856518745
lookahead3,random_2,64,131.0,1,30.8549338148204,2.597000013338402
viterbi,random_2,64,129.0,2,281.03500483664936,53.106000006664544
beam32,random_2,64,129.0,2,281.03500483664936,12.882400013040751
astar,random_2,64,89.0,2,281.03500483664936,2178.1377000152133
greedy,random_3,64,102.0,2,39.88399425799304,0.2747999969869852
lookahead3,random_3,64,96.0,2,39.88399425799304,3.337200003443286
viterbi,random_3,64,87.0,2,6.560438596376364,64.16159999207594
beam32,random_3,64,87.0,2,6.560438596376364,14.557999995304272
astar,random_3,64,28.0,1,2.9486459995352576,2117.169000004651
greedy,random_4,64,113.0,2,1412.2959820409556,0.1705000177025795
lookahead3,random_4,64,117.0,0,27.73872452748185,2.1413000067695975
viterbi,random_4,64,103.0,0,27.73872452748185,56.40910001238808
beam32,random_4,64,103.0,0,27.73872452748185,13.090899999951944
astar,random_4,64,119.0,0,27.73872452748185,17.636700009461492
greedy,real_Smoke on the Water,12,24.0,3,3.0,0.03369999467395246
lookahead3,real_Smoke on the Water,12,24.0,3,3.0,0.0968000094871968
viterbi,real_Smoke on the Water,12,24.0,3,3.0,0.15869998605921865
beam32,real_Smoke on the Water,12,24.0,3,3.0,0.19270001212134957
astar,real_Smoke on the Water,12,24.0,3,3.0,0.2906000008806586
